order_id,1,2,3,process_type,5,plan_released_by,7,task_name,9,10,order_issued_date,11,12,13
NCCM_26300,23-01-2014 15:37,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-06-2014 12:21,,,
NCCM_30842,18-07-2014 19:13,NORMAL,IN PROGRESS,BTNCCM,5,kkhandek,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-07-2014 19:23,,,
NCCM_31739,13-08-2014 21:15,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-08-2014 21:21,,,
NCCM_31887,20-08-2014 12:24,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-08-2014 12:33,,,
NCCM_32232,02-09-2014 11:34,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,02-09-2014 11:36,,,
NCCM_32310,06-09-2014 16:47,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-09-2014 16:51,,,
NCCM_32878,29-09-2014 20:12,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,29-09-2014 20:21,,,
NCCM_33008,06-10-2014 13:46,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-10-2014 13:57,,,
NCCM_33099,08-10-2014 19:32,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,08-10-2014 19:52,,,
NCCM_33152,10-10-2014 15:07,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-10-2014 15:16,,,
NCCM_33163,10-10-2014 18:44,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-10-2014 18:50,,,
NCCM_33166,10-10-2014 20:16,NORMAL,IN PROGRESS,BTNCCM,5,hemant.pawar,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,11-10-2014 00:00,,,
NCCM_33184,11-10-2014 11:12,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,11-10-2014 11:18,,,
NCCM_33561,21-10-2014 17:59,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,21-10-2014 18:13,,,
NCCM_33583,22-10-2014 19:27,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,22-10-2014 19:32,,,
NCCM_33764,29-10-2014 19:12,NORMAL,IN PROGRESS,BTNCCM,5,aganpule,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,29-10-2014 19:16,,,
NCCM_33893,03-11-2014 10:32,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,03-11-2014 10:41,,,
NCCM_34083,06-11-2014 11:20,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-11-2014 11:23,,,
NCCM_34096,06-11-2014 12:28,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-11-2014 12:33,,,
NCCM_34098,06-11-2014 12:37,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-11-2014 12:40,,,
NCCM_34175,06-11-2014 19:05,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-11-2014 19:11,,,
NCCM_34524,13-11-2014 20:39,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-11-2014 20:46,,,
NCCM_34518,13-11-2014 18:08,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,14-11-2014 00:00,,,
NCCM_34585,14-11-2014 16:23,NORMAL,IN PROGRESS,BTNCCM,5,SGKothar,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,14-11-2014 16:36,,,
NCCM_34648,17-11-2014 11:20,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,17-11-2014 11:22,,,
NCCM_34694,18-11-2014 16:21,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-11-2014 16:26,,,
NCCM_34744,19-11-2014 17:19,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,19-11-2014 17:21,,,
NCCM_34796,20-11-2014 18:04,NORMAL,IN PROGRESS,BTNCCM,5,SGKothar,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-11-2014 18:07,,,
NCCM_34899,24-11-2014 20:44,NORMAL,IN PROGRESS,BTNCCM,5,prashant.vast,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,25-11-2014 00:00,,,
NCCM_34950,26-11-2014 17:33,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,26-11-2014 17:42,,,
NCCM_35284,06-12-2014 12:06,NORMAL,IN PROGRESS,BTNCCM,5,PoGawali,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-12-2014 12:08,,,
NCCM_35294,06-12-2014 19:26,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-12-2014 19:30,,,
NCCM_35409,10-12-2014 15:38,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-12-2014 15:41,,,
NCCM_35432,10-12-2014 18:40,NORMAL,IN PROGRESS,BTNCCM,5,nikhil.aru,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-12-2014 18:44,,,
NCCM_35470,11-12-2014 19:20,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,11-12-2014 19:30,,,
NCCM_35506,12-12-2014 11:44,NORMAL,IN PROGRESS,BTNCCM,5,hemant.pawar,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-12-2014 00:00,,,
NCCM_35408,10-12-2014 15:34,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-12-2014 00:00,,,
NCCM_35592,15-12-2014 16:58,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,15-12-2014 17:00,,,
NCCM_35594,15-12-2014 17:38,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,15-12-2014 17:46,,,
NCCM_35526,12-12-2014 19:03,NORMAL,IN PROGRESS,BTNCCM,5,singh.amit,PMG,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,16-12-2014 16:14,,,
NCCM_35726,18-12-2014 16:54,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-12-2014 16:59,,,
NCCM_35774,19-12-2014 13:17,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,19-12-2014 13:20,,,
NCCM_35878,20-12-2014 16:21,NORMAL,IN PROGRESS,BTNCCM,5,PoGawali,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-12-2014 16:24,,,
NCCM_35968,23-12-2014 18:51,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,23-12-2014 18:57,,,
NCCM_36065,27-12-2014 18:16,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,27-12-2014 18:21,,,
NCCM_36270,31-12-2014 16:25,NORMAL,IN PROGRESS,BTNCCM,5,nikhil.aru,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,31-12-2014 18:11,,,
NCCM_36303,02-01-2015 20:08,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,02-01-2015 20:13,,,
NCCM_36373,06-01-2015 17:03,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-01-2015 17:07,,,
NCCM_36374,06-01-2015 17:11,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-01-2015 17:15,,,
NCCM_36447,08-01-2015 18:26,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,08-01-2015 18:39,,,
NCCM_36488,09-01-2015 15:55,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,09-01-2015 16:12,,,
NCCM_36498,09-01-2015 18:53,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,09-01-2015 19:01,,,
NCCM_36507,10-01-2015 12:21,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-01-2015 12:22,,,
NCCM_36551,12-01-2015 15:49,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,12-01-2015 15:52,,,
NCCM_36579,13-01-2015 17:40,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-01-2015 18:16,,,
NCCM_36583,13-01-2015 19:33,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-01-2015 19:35,,,
NCCM_36594,14-01-2015 14:57,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,14-01-2015 14:59,,,
NCCM_36601,14-01-2015 16:26,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,14-01-2015 16:31,,,
NCCM_36626,14-01-2015 19:25,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,14-01-2015 19:27,,,
NCCM_36640,15-01-2015 13:34,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,15-01-2015 14:00,,,
NCCM_36648,15-01-2015 15:34,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,15-01-2015 15:43,,,
NCCM_36649,15-01-2015 16:39,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,15-01-2015 16:43,,,
NCCM_36603,14-01-2015 16:38,NORMAL,IN PROGRESS,BTNCCM,5,VHole,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,15-01-2015 18:13,,,
NCCM_36678,16-01-2015 19:46,NORMAL,IN PROGRESS,BTNCCM,5,DeviVish,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,16-01-2015 19:55,,,
NCCM_36803,21-01-2015 13:19,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,21-01-2015 13:21,,,
NCCM_36910,23-01-2015 16:01,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,23-01-2015 16:03,,,
NCCM_36917,23-01-2015 19:29,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,23-01-2015 19:32,,,
NCCM_36962,26-01-2015 11:09,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,26-01-2015 11:11,,,
NCCM_37058,28-01-2015 17:57,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,28-01-2015 17:59,,,
NCCM_37108,30-01-2015 16:04,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,30-01-2015 16:07,,,
NCCM_37110,30-01-2015 16:08,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,30-01-2015 16:12,,,
NCCM_37138,01-02-2015 00:26,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,01-02-2015 00:31,,,
NCCM_37257,03-02-2015 18:56,NORMAL,IN PROGRESS,BTNCCM,5,JKathare,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,03-02-2015 19:08,,,
NCCM_37295,04-02-2015 18:34,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,04-02-2015 18:37,,,
NCCM_37305,04-02-2015 20:00,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,04-02-2015 20:02,,,
NCCM_37326,05-02-2015 11:06,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,05-02-2015 11:10,,,
NCCM_37402,06-02-2015 20:56,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,06-02-2015 21:01,,,
NCCM_37417,07-02-2015 16:24,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,07-02-2015 16:27,,,
NCCM_37515,09-02-2015 18:29,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,09-02-2015 18:45,,,
NCCM_37572,10-02-2015 20:04,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,10-02-2015 20:15,,,
NCCM_37732,13-02-2015 17:49,NORMAL,IN PROGRESS,BTNCCM,5,sadvitot,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-02-2015 17:52,,,
NCCM_37744,13-02-2015 19:46,NORMAL,IN PROGRESS,BTNCCM,5,JKathare,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,13-02-2015 19:50,,,
NCCM_37838,17-02-2015 12:52,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,17-02-2015 12:55,,,
NCCM_37839,17-02-2015 12:55,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,17-02-2015 12:59,,,
NCCM_37859,17-02-2015 19:30,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,17-02-2015 19:35,,,
NCCM_37862,17-02-2015 20:25,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,17-02-2015 20:33,,,
NCCM_37878,18-02-2015 13:16,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-02-2015 13:18,,,
NCCM_37887,18-02-2015 15:26,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-02-2015 15:28,,,
NCCM_37892,18-02-2015 16:28,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-02-2015 16:33,,,
NCCM_37895,18-02-2015 17:14,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-02-2015 17:17,,,
NCCM_37896,18-02-2015 18:04,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-02-2015 18:08,,,
NCCM_37897,18-02-2015 18:35,NORMAL,IN PROGRESS,BTNCCM,5,VHole,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-02-2015 18:41,,,
NCCM_37904,18-02-2015 20:01,NORMAL,IN PROGRESS,BTNCCM,5,JKathare,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-02-2015 20:16,,,
NCCM_37905,18-02-2015 20:53,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,18-02-2015 21:00,,,
NCCM_37927,19-02-2015 15:23,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,19-02-2015 15:29,,,
NCCM_37955,19-02-2015 20:15,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,19-02-2015 20:18,,,
NCCM_37963,20-02-2015 16:14,NORMAL,IN PROGRESS,BTNCCM,5,JKathare,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-02-2015 16:18,,,
NCCM_37976,20-02-2015 18:37,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,20-02-2015 18:40,,,
NCCM_38028,22-02-2015 18:53,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,22-02-2015 18:58,,,
NCCM_38074,23-02-2015 20:18,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,23-02-2015 20:26,,,
NCCM_38104,24-02-2015 15:51,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,24-02-2015 15:56,,,
NCCM_38110,24-02-2015 16:57,NORMAL,IN PROGRESS,BTNCCM,5,SupriKat,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,24-02-2015 17:00,,,
NCCM_38165,25-02-2015 17:48,NORMAL,IN PROGRESS,BTNCCM,5,JKathare,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,25-02-2015 18:18,,,
NCCM_38174,26-02-2015 11:19,NORMAL,IN PROGRESS,BTNCCM,5,ISInamda,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,26-02-2015 11:24,,,
NCCM_38201,27-02-2015 13:58,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,27-02-2015 14:57,,,
NCCM_38208,27-02-2015 16:39,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,27-02-2015 16:57,,,
NCCM_38301,02-03-2015 15:11,NORMAL,IN PROGRESS,BTNCCM,5,omprakash.kore,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,02-03-2015 15:15,,,
NCCM_38331,03-03-2015 10:18,NORMAL,IN PROGRESS,BTNCCM,5,santpati,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,03-03-2015 10:23,,,
NCCM_38361,03-03-2015 16:37,NORMAL,IN PROGRESS,BTNCCM,5,ramkumar.v,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,03-03-2015 17:02,,,
NCCM_38391,03-03-2015 21:10,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,03-03-2015 21:26,,,
NCCM_38426,04-03-2015 13:00,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,04-03-2015 13:05,,,
NCCM_38432,04-03-2015 19:57,NORMAL,IN PROGRESS,BTNCCM,5,AFating,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,04-03-2015 20:06,,,
NCCM_38437,05-03-2015 10:35,NORMAL,IN PROGRESS,BTNCCM,5,singh.amit,PMG,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,05-03-2015 11:42,,,
NCCM_38441,05-03-2015 11:40,NORMAL,IN PROGRESS,BTNCCM,5,VHole,Provisioning-Network,NCCM_BM_Tx_ConfigureTxServiceInPEWindow,,,05-03-2015 11:45,,,
